airline_sentiment,text
neutral,please tell im go make connect flight ohare stl southbendinwhere foldedhands httptcoqgwkdewv
neutral,lindsay darn terrible memory part know head back iad pit tonight
negative,know im sure hear time dont like new seat im small guy feel new plane tight
negative,hr ord another tarmac refuse move early flight make iflyalot b
neutral,ok thanks clarification
positive,come back iflyoakland huge east bay customer base due sfo miss
negative,also doesnt help im frequent flier united premiere gold apparently mean nothing
negative,delay another hour
neutral,million mile flier im embarrass ask long ago launched
negative,cant beat storm town wait issue policy late flight nw issue storm warning already
negative,skywest miss one probably aspen event fail
negative,dont need apology need bag take minute land get unacceptable
negative,add wifi entertainment old seat ill come back
negative,fly sfo honululu get push back hour look like delay beg plz sort soon
positive,thanks catch conection
negative,super lame charge tv international flight u isnt
negative,volunteer give seat people sit minute plane wait add people letsgo
negative,go transfer car airport couldnt get
negative,next time volunteer let gate check bag space since obviously cant deliver timely manner
negative,im sorry cold chicago dont see mean take minute priority bag show carousel
neutral,long take customer feedback respond complaint
negative,make miss big snow montana cool
negative,might airline offer waiverskeep good fight
neutral,frontier httptconwinfuc
positive,thank help appreciate
neutral,fyi go similar flight last week
negative,know check complaint ticket say dinner book change refreshment wheres refund
negative,bag mia since wednesday still word well ever see lostluggage frustrate
neutral,assume benefit apply reservation way partner diff re use combine re
neutral,u air httptcoeishcnpro
negative,cant american airline suppose httptcoewjoklji
negative,love report horrible flight team let make worseas get seatout snack
neutral,uhuhgroup try get nashville iad today instead tomorrowwhy preemptive though httpstcoybvxaowkv
positive,thanks move dad mom flight help make birthday start friendlyfriday awesomeness paw
negative,need get together flight cancel flightled strand car baggage lose never get right
neutral,blood service make appt today httptcouxwpadugs
negative,worth say litter singapore get can rule say united
neutral,waive change fee snow storm come tomorrow iad winter storm warn tomorrow already whats
neutral,yes ill send email customer service today
negative,im fully aware rule harsh toward client especially since youre go resell seat
negative,wont check carry watch handler throw bag miss conveyer belt sat min httptcolyoocxmsh
negative,waste time airline get automated message disappointing always
negative,mean within one week file compensation complaint website
negative,sure however ticket include one check bag therefore charge extra completely unanticipated
positive,dgoodspeed follow maintenance team thanks tweet kp thank united care
negative,terribly disappointed confirm reservation delayed cust service staff helpful find alternate solution
neutral,checkin luggage employee tell include wheel dimension
neutral,dmangenvisualclubconceptscom
neutral,ticket refund purchase brother flycould use refunded credit fly respond
negative,besides fact one week ago delay hour impress
negative,one check bag check edinburgh however charge randomly dc newark
negative,purchase ticket entitle check bag however charge extra dollar domestic transport
negative,thank u hr delay board u onto plane reek vomit flight attendant indicate wasnt clean properly
negative,never gross life disappointmentyet againflying
neutral,need add service dog itinerary tomorrow
negative,thanks delay flight hour board u onto flight reek vomit wasnt clean properly
negative,land might want check flight plane houston sound takeoff amp land httptcoqkquraggoo
negative,cant even look right ill call im mad
neutral,dm ed u request num
negative,request online refund option deny say ticket use hope understand problem approach
negative,nope still sit gate
neutral,bagage take cabin dont need checkincorrect
neutral,exactly
negative,passenger wait inside flight runway return back gate count valid journey
negative,yes partly use delewr use return flight cancel flightled due technical glitch operation
positive,thank appreciate response
neutral,old school ride home lax houston flyingretro httptcoasuwxkv
negative,appreciate look compensate anything trouble still havent take flight
neutral,mine gjqxj husband acw cant dm reason
positive,thank thank thank contact thank offer travel certificate unitedairlines
negative,another terrible experience united discrimination delay help customer service unite notimpressed
neutral,hi fly iad tomorrow even expect delay cancel flightlations snow storm
negative,business decision make inconvenience possibly cause lost customer good business decision cranky
positive,send dm thank incredibly happy fast response get via twitter via customer care thank
negative,please provide update ua flight strand united information crew plane
negative,thanks remind much easy fly southwest get agent sfo
positive,perfect work thank
negative,thats still one day visa expire june book flight day
neutral,followback dm plz
negative,miaewr smilingfacewithopenmouthsmilingeyes smilingfacewithopenmouthsmilingeyes smilingfacewithopenmouthsmilingeyes excellent crew ewriad poutingface poutingface poutingface crew load bag wait w door open freezing min past departure
negative,customer service crap
negative,thanks ground crew surprise flight arrive beingsuckontarmacsucks
positive,mechanical issue look like get fix thanks concern
negative,ua sit tarmac ord visibly gate open reassign gate
positive,thanks
negative,usually issue express sfo positive note mainline p enjoyable
negative,sato rebooked upset travel office fix couldnt
negative,kind unnerve watch guy deice plane text phone whole time httptcoqdxftqqt
negative,refreshes browser right checkouterror load message ticket price increase matter sec dounotwantmybusiness
negative,jedediahbila united voted every year one bad airline enjoy title give jedediah free pass
negative,think board back plane whatstheholdup chitocle
positive,plane thanks maybe dont let many people check teem moron
negative,thanksseat make year old broken tv flightsyearmy last airline
neutral,ua need deice stat weve wait turn
neutral,yes ive board way many time amp never show pas tarmac multiple time path rail way
negative,bobwesson fair enough united everybody best although slight delay turn cancelled flightlation
negative,still wait bag never get deliver yesterday cant reach real person help send dm ref number
negative,bad flight experience ive ever never ever fly airline
negative,go thru detail flight want w recording repeat real person get line
positive,look like come thanks help
neutral,anything yet jj
negative,would person take hour hour wait time tell lie
negative,hey dm work ua
negative,refund team far customer care courtesy need train work ethic like sir u r lie help
negative,splitting flight quadruple price
negative,contd tell ask refund use ticket flight get cancel flightled ticket use
negative,several trial several hour wait phone contact customer care get refund get cold shoulder
negative,book pay flight get denver specific time meeting fail wasnt cause weather
positive,since get good transcontinental flight h pleasurerelief
negative,dont understand isnt flight pay premium get cancel flight best next available flight
negative,flight awful one lavatory functioning people line bump etc cant use st class bathroom ridiculous
neutral,current board food menu available anywhere online
neutral,airline change mileageplus program winner loser httptcofyvaioul httptcovglxykwqg
negative,actually arent still park
neutral,sun carry rt united antkneee right would heat wave enjoy warmth bring home jj
positive,thanks
positive,thanks prompt response another hour enjoy vacation perhaps bug app still show
negative,apply one travel certificate per itinerary even multiple flight
positive,appreciate sentiment able get groundstill miss connection
negative,log view reservation try view specific reservation amp take back login page
neutral,go round amp round go week
positive,unite prompt assistance
negative,time flight delay miss next flight time youve lose baggage clean clothes flight thx
neutral,look email chain one
negative,hell mile expire really look forward accrue enough free flight year
positive,thanks timely update
neutral,also want naming right first child fly home visit mother avoid winter depression
negative,im familiar procedure wouldnt first time unitedairlines lose one bag unhappytraveler
negative,get give inaccuratemisleading info doesnt seem like great way hopethegearmakesitintact
negative,clean regional jet take hour
positive,baggage check flight crew friendly ever flight ogg lax
neutral,thanks mean minute make international connection hkg
neutral,jedediahbila kp travel try cheer m bila
negative,try charge flight try make change phone include change fee wtf
positive,thank offer sort
neutral,workin wait reply
negative,flight roll delay hour minute
negative,believe customer service last post narita tokyo send motel rest say standby maybe day
positive,think best first class ever get denver lax wonderful
positive,course inflight crew great
positive,well play lo
positive,pilot ua land plane like gently place u pile whipped cream smoothest landing ever
negative,website complete joke use safari
negative,new seat canadaair regional jet plain suck
neutral,im another country please cancelled flight reservation ive book swiss air
negative,airline abuse expensive video equipment overcharge privilege httptcosdylukrpt via robthecameraman
neutral,find flight airfarewatchdog
negative,thats reply lol hop least new plane maintain flight unamusedface
negative,somebody say flight upgrade
neutral,dm send
negative,tripitpro accurate delay dept time hour late flightr hear curious
negative,tell airline lose mine family business day age message twitter travel fast
negative,try reach number last standbye give meal voucher potential day standbye
negative,disappointing customer service
negative,board time deplane minute delay transparency cant wait give gold status aa
negative,stocker wife sarah stocker also call could connect customer service
negative,victim scam shit customer service time agent hang wtf teach staff
negative,flight frustration boil deal attendant attitude ridiculous
negative,nice know hour time worth free directtv everyone ever hear preventative maintenance
negative,may true however week matter still unresolved get supervisor manager help
negative,obviously one know darn thing around get resolve httptcophqjzapkx
neutral,go forward shouldnt flight book problem star alliance flight united app
negative,notification yet staff board say accurate departure time
negative,im know seat actually narrow seat feel like maybe im extra bloat
negative,dm send lack customer service get ridiculous
negative,delay go home get really tire delay
positive,big thanks mn kn patiently clarify united domestic world
negative,uh book ua website price change
negative,im rebooked get home hour late flightr plan chance ill ever see bag unhappytraveler
negative,united club team amp get seat late flightr still sure last min ual cancel flightlation cost yet overbooked folk get
negative,flight yyc provide free food allow back board broken lightbulb
negative,look fare return companion flight dont understand additional fee necessary
positive,thank much help ton whoever twitter acct today deserve handshake hot chocolate flight problemsolvers
neutral,leave headphone ua yhzewr long shot see worth tweet anyway
neutral,thousand fan jedediahbila ask give utmost effort get safe flight baggage soon
positive,cant wait tpallini httptcoodlalledh
negative,flight specific last two probably foot apart within sight
positive,love tell would issue refund couldnt get u way hurricane deny
negative,without baggage day cant get update houston airport since monday bad service ever
negative,yes three different checker along walk plane overkill
negative,bummer might go americanair card instead ty response though
neutral,lrunscupcakes please dm detail wed like help need assistance kp clarkhoward another airline issue
negative,im sure business go else airline travel name kathryn sotelo
neutral,please arrange someone arrive gate flight chicago either refund first class upgrade
negative,make check carry flight pbi newark plane luggage stow full u r cost time money amp aggravation
negative,way contact flight work father pass head denver
negative,two flight today let hope kit get treatment httptcopdnbaakxh
positive,thnx
negative,please help regard pnr azzf waitlisted flight
neutral,email jim compton jeff smisek hopefully pay attention
negative,hope solution insurance cover issue
negative,customer service solution might miss show
negative,deserves go bankrupt delay outbound flight info connecting flight go miss
negative,flt delay maintenance thats fix cant board flight crew didnt stay board area fail
negative,anymore finally ticket min takeoff sure confusion fullfare gsa ticket
neutral,mile earn explorer card count toward lifetime mile
negative,yes still dont know ive tell might flight one confirm
neutral,something miss checked baggage
negative,wind chill ithica degree trouble lose clothes give tshirt ill burn warmth united
positive,aw thanks kind word totally make extra hour sit airport soooo much well
neutral,frontier currently offer weather exception weekend united
negative,call customer service delay flight today luggage misplace disaster across board
negative,crew notify passenger move water fix tarmac two hour
negative,link helpful put touch management
positive,u might imagine former pilot particularly touch gesture please let fo know keepingtraditionsalive
negative,delay cmh ord ran gate min b connection door close one around ignore st agent nd super rude thanksunited
negative,upgrd guess kit kat look tasty go near sandwich
negative,worse head laguardia delayed tray table size mouse pad overhead size pocket
negative,iah ewr break entertainment system wifi despite info app httptcofyfrzbk
negative,customer service terrible
neutral,do
negative,please send help asap kathrynsotelo flight chicago seat c airline httptcoskrlyrzo
negative,define appreciate doubt bad major airline usa act much feedback
negative,yea refund airline ruin trip
positive,send thank
negative,thats wonderful unfortunately doesnt help hr flight major u city disappoint
negative,thanks delay flight hour miss connect flight terrible customer service neveragain vacation
negative,get rebooked aa one question though automatically refund check baggage fee flight cancel flightled
negative,good k team nothing short amaze everything
negative,new flight window kind tick pick aisle seat hate window seat annoy epicfail
positive,good fly unite businessfirst
negative,nope rebook houston could get amarillo pm stuck sfo four hour
positive,thanks make
neutral,past
positive,thanks dmed hn
negative,money suck airline terrible terrible customer service
negative,aware airbus fleet suck id rather fly c full rubber dog shit
neutral,issue exception policy denver weekend
neutral,need breakdown international surcharge flight cover please help
negative,httpstcojpdnsgrt fyi staff tell customer try carrier
negative,couldnt possibly mess trip anymore thanks terrible airline disappoint
negative,wifi ua sf chicago thats ps tech intro video joke epicfail
neutral,flight thx
neutral,base suggestion passenger rental car standby one way another leave
negative,thanks reply box mine im miss one add bag
negative,wifi flight ua sf ord really wow
neutral,give belfast hug new unmissable bushug format impact busads thinkbus belfastairport httptcoavbdstjujs
negative,bad httptcoaitzlnd
negative,haha clean plane hold overnight hangar sound lovely also dont lie screensand say weather
negative,charge delay unite still wait
neutral,adamkarren zj save checked snowboard try check morning website want premgold
neutral,travel fra thru iad mco tomorrow concern abt iad weather cant change advisory issue advice
negative,make feel guilty economy plus didnt pay extra leg room
negative,flight cancel flightled new flight hopefully
negative,cancel flightled newflight upset one cancel flight could rent car would honest
positive,enjoy heathrow lounge much almost miss airnzusa flight
positive,hi flight try book new one way flight departure show pm seem accurate
negative,stuck ord united cant find airplane lol upset terminal right
neutral,contact request charity donation thankyou
negative,wth honest customer good last change drive home plane leave
negative,nd time row ive charge plane ticket united shouldnt check cc everytime
neutral,need customer service manager contact please
negative,flight really go leave newark today tell u rent car want end stranded
negative,thanks reply saw particularly helpful hungry vegetarian fly specific flight shrug
negative,funny boarding pas say priority clearly priority airline
negative,im sure offer nothing inconvenience put twice month tweet dont cut
negative,youll cancel flight flight like
negative,screw twice one month learn lesson
negative,whats point offer free checked bag lose
neutral,cheer
positive,please send linkemail formally compliment irene slc best customer service ever paxex
positive,thnx lo
neutral,yes houston intl bush
neutral,hi flight cunewr show departure pm united app confirm doesnt look correct thanks
negative,flight vega houston cancel flight morning due operation mean thank god wake early today
neutral,thanks
negative,education staff need also turn away first class cabin passenger mileage plus
negative,item mine mysteriously end checked bag ewr yow flight miss black box httptcosjqemdtqma
negative,guessflight go cancel flightled empty seat confirm important frustrate
negative,instead make seat smallerthinner u jam people flightu concentrate maint amp happy customer
negative,need assistance pull agent head ass
negative,gate definitely full park wheel chock customer service call unmet arrival
negative,abigailedge another glitch
positive,spite flight delay great customer service provide janet baggage employee karen wonderful employee unite
negative,really hard time believe plan terminal delay mechanical issue whatgives dullessucks
neutral,start xdaily embraersa erj flight chicago flyohare evansville jun avgeek
negative,flight almost half hour tarmac wait paper miss connection iah
negative,bad airline ever thanks slew rude agent staff make delay flight even bad
negative,chance hell id rather walk bad airline ever
negative,bad major u airline proof theyre board plane outside galley door open degree weather wtf
neutral,check boardingpass wno checkin bagage guess im set
positive,always make cross country flight rad hemispheresmag here baby flier charlotte thtimemonthsold httptcokcqnwixucm
negative,late flight damage do easily bad airline experience life miss two connect flight amp day work ua
negative,dont know aware premier access line close terminal feel love
positive,firstclass london way londonfashionweek lfw highheeledshoe highheeledshoe highheeledshoe
negative,disappoint learn charge use k mile upgrade p jfk flight look alternative
neutral,kid ill send stuff thanks
negative,faanews unacceptable practice leave cancel flighted flight passenger sleep cement pillow ua httptcondtljzpu
negative,u get crew member wait tell minute ago land still gate
negative,flight massive fail delay transport crew member cause many miss connection unreal
negative,bad customer experience houston intl airport ground support even staralliance member nightmare
neutral,tremendous would recommend
negative,help delayed flight im go miss connection
negative,im counting please dont let delayed needtocatchmynextflight alreadyrebookedonce
negative,impossible actually get passenger luggage final destination
positive,huge kudos fo sunday flt sjoiad hand daughter first pair wing keep tradition alive
positive,awesome new plane flight
negative,flightdelay early craft arrival pilot stick traffic fail nocustomerservice nocompensation
negative,oh unite much despise thee
neutral,let see today hop ontime dept dullestostatecollege runningonthreehoursofsleep delayedovernight
positive,flt capt herman amaze come flight play ask captain anything wonderful ambassador airline
negative,airline big joke operation world
negative,go baggage claim newarktiredandwanttogohome
negative,usually lounge staff fantastic except today mco almost deny entry lounge even though travel unitedfirst
negative,hour delay misplace bag poor communication bad unsympathetic confrontational gate agent cool
negative,dont respond email facebook msg im still wating ticket im get really angry disappointed
negative,send jeff smisek trip jetblue sw make sure take note would never choose fly united
negative,disappointed service level staff communication bummer
neutral,predawn flight miami ewr annual sobewff trip
negative,unite great news u wont refund ticket due bad exchange rate know u would come sens gg unitedappeals
positive,thank wonderful global first class flight fra great service cont httptconkdcsxu
neutral,get look forward hear soon
negative,go rectify please direct complaint department stickingtodelta
positive,unite united danroam thats beautiful place stay day longer rebooked let know mn
negative,top flight attendant talk loudly throug flight even light dim result sleep
negative,seem like one unite help lot finger point zero people step least gate oreos
negative,access dial make fast
neutral,ill impress actually get response facewithstuckouttonguewinkingeye
neutral,hi leave asus tablet flight heathrow newark th feb wonder long take someone check find
negative,hr delay start huge queue security representative meet u rude staff baggage reclaim inefficient
negative,bad flight attendant like angry drunk aunt everything argument
negative,black white eu law cancelled flightled flight want money
negative,accordingly u dont respond
negative,extra care airline unitedairlines dont care trust customerservice non existent dont
negative,another unfortunate case bad luck usually maintenance issue swap plane ont get late flight
negative,shame great customer service wasnt continue sfo slightly absurd
negative,onlyinamerica day word unitedairlines customerservices bad pr guy
negative,still await reply ur customer service day response lousy unitedairlines
positive,alright thank much appreciate
negative,happen airline theyve give flight voucher transparent problem
negative,thanks im book spend extra hr ten w explanation fly middle seat char instead memphis
negative,agent rick clifton seahou tell father die need get handbag cabin nothing shameful
neutral,chance allow reflight book problem yet travel denver weekend due impend storm
negative,crew escort back st class prebooked really united jenniferwalshpr dissatisfaction und
positive,thanks yup im set happen slc ground staff prompt helpful courteous
negative,empty seat coach united dissatisfaction understood crew member travel duty prebooked f
negative,good didnt die anything say get pay
positive,thank much able contact
positive,maybe return trip thumbsup
negative,staff laguardia lagos nigeria unprofessional uncaring helpful ou
positive,get gate thanks check
negative,u keep passenger wait night plane put service leave everyone strand night inexcusable
positive,especially like upgrade three crew member first class instead passenger keepitclassy customerservice
neutral,hello get flight month ago constantly think peanut anyway could send
negative,flt lax ewr pilot brag get ewr early wait min jetway driver thanks unite
negative,happy find phone easily bad system ever hear
negative,hour united jenniferwalshpr dont like delay avoid well way asap
negative,robbogart wait hour airport tell one fib cant ual honest customer
neutral,round trip
negative,well yet checked bag already vanish havent leave airport yet
neutral,thanks tonight would seem httptcowndceoqlk
negative,rapid trip plane ticket idaho california doesnt problem would wonderful
negative,agent help point theres problem amp dont want mess somebody elses plan u flow tech team pls
negative,delay hour one hour flight frustrate im also unable get decent meal hournever
positive,please go beyond make u number one priority
positive,guy awesome thanks
positive,thnx
negative,think status nothing think bug search system
positive,anna palm spring gate deserve medal handle ppl miss flight like pro
negative,would appreciate answer werent alerted flight cancel flight plane land showsomerespect
negative,wtf delay delay hour yvr san unacceptable flight crew availability blame never united
negative,think leave phone flight help
positive,great customer service thanks
positive,thanks would awesome
negative,hey leave computer bag wcomputer inside united file online report response
negative,empty upon takeoff cant someone sit
negative,case id request day ill get response b
positive,nawww unite fave airline
negative,thanks form submit im bet someone would honest enough turn though
neutral,lh return business ticket den fraif fly domestic youbag check frano need claim
neutral,also united phone representative ask web password normal
negative,difference booked flight want screen shot
neutral,plan reduce delay
neutral,im search flight redeem mile get different search result user account reason
negative,rebooked hour original flight say handling situation bad would understatement
negative,would like supervisor talk wait flight attendant one walk amp leave httptcoipaamztz
neutral,whats phone number customer service question
neutral,kid leave kindle fire hd onboard ua ordsfo today row abcdef whole row amongst u help
negative,understand situation wait open pm
positive,battierccipuppy hope see board soon thanks tweet ey clappinghands clappinghands
negative,curious go finally learn customerservice
negative,nice see u sense humor hourdelay want b home ill settle beer safely air course
neutral,surprise go k last year nothing year happen soft landing policy level
neutral,pay person portland airport fly perth do u air
negative,service desk gate help u find flight get u dest time flight get cancel flightled
negative,thanks answer question want make reservation phone perth hold hr family
negative,wasnt delay much straight cancel flightlation weather wasnt issue either
negative,thanks ruin wedding anniversary flight ua ewr rdu delay hour reach home nxt day
negative,cancel flightled flight unknown reason havent really give anything make overnight layover tolerable
negative,difference responsible position something learn delta
negative,yes flight rebooked im lose trust want get anywhere time
positive,thanks keep good work
positive,reflight book problemss last day time united wait time lt second kudos excellent customer service
negative,solution
neutral,mind
negative,im evry st flight take w delay amp evry nd time missed evry time lastflightofthenight breakup
negative,submit complaint line never hear back dont id find
negative,cool customer tell didnt care either expect
negative,freak worthless hate airline httptcodnifcgwe
negative,u leave ord time week shameful
negative,missed daughter suppose dpt ord pm dpted pm checked week average ua shameful day average pm
neutral,understand pilot would get plane st class empty coach seat near im premier k
negative,fantastic night wait hour delayed airplane alert u flight cancel flighted land whatstatus
neutral,someone airport portland buy ticket pick used day late flightr perth australia thanks
negative,delta flight lax compensate rental car
neutral,happen spooky spook much scare
negative,miss set hotel flight delay sfo hour miss wed festivity friend disappointedface
positive,sent confirmation via dm thank much
negative,board customer onto plane pilot thing expedite time line book new flight come
positive,would great k u
negative,stuck tarmac last hour beer
negative,recent service bad nc trip aweful disappointed never
negative,freezing gate bridgewaitingforbagsunitedewr
negative,land pm stand wait bag load plane sidewhy isnt crew heretiredcustomer
negative,dmbshows need plane get buffalo leave tonight progress
negative,rebooked however would nice wait extra min airport make right
negative,enough already poor service old plane ridiculous rout k time find new airline status match
negative,wait hour finally board airplane find call maintenance plane cold poutingface
negative,break suitcase amp refuse give repair estimate httptcozouowgvq
negative,scheduled flight crew competent person work airline
negative,help chicago get gate freezing runway seem like crappy thing pm
neutral,hiltonworldwide caravannyc maysvillenyc let go join first trip back nycas tourist httptcoegaejtrglb
negative,thanks kp whats go w tonight bad update online phone cant u give customer good info waste time
positive,get lose kindle mail thanks
neutral,z code airfare refundable
neutral,didnt notice start board assume e time boarding start gas clear standbys full flt
negative,know flight delay mht alb ewr get crew arrival late flightr departure update site
negative,wtf cant update time timely manner youve know fight delayed ur service awful cnn
neutral,want book multicity fare mile flight option pay st flight mile nd ump visa thanks
negative,wait plane long missed connect flight leave early thats last flight tonight help httptcohbsjsfh
negative,ord gate c flt remember customer valuable hard nice someone lug guitar amp carryons
negative,bad service ever deny access flight move flight time hard schedule gate delta next time
negative,im denver bag san jose see something wrong
negative,know bad youre pray connect flight delay hour delay first flight justgetmehome
negative,playing hide seek gate cant find minute
negative,flight ord delay air force one last flight sbn min land
neutral,flight really cheap whats catch
neutral,lgjwb voluntarily rerouted st leg journey economy suppose b re agent say shed reserve
negative,hr late flightr still cant figure random text update embarrass ua httptcovftuyjhx
negative,stop picking u cle httptcovtqemli
negative,book flight sept get best price april usa check cheaper con unhappy customer ripoff
negative,big properly manage flight time thing time least prepared gate land
negative,id rather truth flight force sit day try get home httptcoufafqhsf
positive,leave soon thanks
negative,another delayed day delay outbound delay inbound wait ewr gate ready ready
negative,cancel flighted mileage plus award reservation gc day yet see mile back despite agent confirmation
neutral,partner book individual reservation flight pr silver share premier privilege somehow
negative,gate change minute flight roanoke flight sous fall ohare painful
negative,nuts say flight ground still albany wont plane someone compensate
negative,doumented via link however four month response suggest shall expect one
negative,yall zero concept customer service ohand connection delay
negative,curious youd board flight without pilot seem crucial flight process
neutral,send dm
negative,change crazy youragentshavenoclue httptcoanohokl
negative,never get flight time hour delay earlier another hour delay connect flight make straight delay
negative,bc delay oversold passenger mess go compensate
negative,blame weather lol wind cloud sky delay way x ru kid charge lb w delay
negative,worseoh cant delay reason way lonflight cancel flight reason less day return
negative,flight gate change top really hop compensate pointsmileage account
negative,contact others flight cant get website work none info valid httptcozpjrkwbk
negative,hour stuck still plane total failure partner ensure best customer experience
neutral,line iah iah airlinegeeks avgeek httptcodjhxvjt
negative,silence telling
negative,thanks hr delay ground crew land least didnt break httptcogcwvfuopl
neutral,buy round trip chicago two day agotoday flight half way get discount
negative,illiterate magic code make customer service site work httptcotgcksbh
negative,bad airline ever staff nasty wifi bag delay due weather belt break sell ual stock
neutral,star bar iah airlineguys airlinegeeks avgeek httptcomwsogucp
negative,im confuse dullesairport agent direct u go website delay nothing work httptcocyprhegok
positive,wonderful time flight ogg msn lose rx eyeglass thick admiral club chicago morning find
negative,minute waitstill gate broken jetway might miss connection
negative,robcnyc see information board process httptcogbiwugfnm kp get group amp reason
neutral,bogota wallet fun
negative,lose wallet flight yesterday houston bogota fill online form response yet
negative,one hour departure time still update
negative,follow see one experiencing notice substantial downgrade service post merger
negative,minute wait gate broken jetway different gate maybe
negative,never get flight austin houston time connection ever ever
positive,get right safety demonstration corporate funny reserved corny httptcolwotkiekgu
negative,sit tarmac half hour land jetway broken daysofunitedfailures thingafteranother
negative,look twitter history usual service non existent
positive,thanks reply contact customer care get clarification issue
neutral,give couple week thank
negative,make sure make cancel flighted flight baggage upgrade fee seem like labyrinth might able swindle
negative,consider time arriving destination half hour late flightr schedule httptcoymftwuyhr
negative,thanks try take money without notice industry cancel flight service refund issue cont
negative,direct phone number status match desk really regret flight book problem united
negative,yet disappoint sit iad ua hr cant seem know plane hasnt leave albany fail
negative,still sit wait plane hour waste
positive,thanks help wish phone rep could accomidating
negative,line get longer move slow lady work counter great need help customerservicefail
negative,update flight would great
negative,wasting time baggage claim thanks dfw ground crew check bag without actually check space frustrate
negative,problem flight ny today
negative,flight heavy fly back palm spring air min
negative,board process suck learn southwestair
negative,ouch delay due mechanical issue qro wait yall seem fall apart alwaysdelayed unitedfail
negative,finger cross capable get baggage point agtb united airline
negative,happen afternoon huge amt incoming plane sfo delay hour frustrate
negative,way impatience partits untruthful proper system place
negative,maybe person work customer service desk houston airport line row deep person work
positive,ill stick united flight thanks though effort much appreciate
negative,survey long fly lot segment ill fill every trip take minute
negative,think hire baggage attendant ewr wait bag hr united overchargedampunderserved
positive,fair enough dont usually rant good know someone listen
negative,tell cancel flight flight
negative,would hard bad last time im sure youll give shot
positive,thank delta transfer bag go
positive,sonyasloanmd happy board please share detail httptcotrgemtebz kp do
negative,service staff less friendly
neutral,happen every time newark
negative,transfer bag
negative,comedian promise make fun stage tonight
negative,try get whole character even do
positive,able get moon flight get hotel puerto rico thank
negative,u reboard without captain well sit another min httptcoeerekdffq
negative,flight houston delay duecto engine trouble willl hold connection argentina houston since im late flight
positive,annricord great appreciate smilingfacewithsmilingeyes
positive,well take care thanks ive already send survey request amp ill share positive experience despite delay
positive,thanks everything aok
positive,dm send thanks much strong customer service
negative,delay flight slc hour give snowforce
positive,ok thanks send dm disregard
positive,excited put early flight get home woo hoo travel partypopper partypopper partypopper
negative,airline joke person work special service ewr line ppl deep grow
negative,concerned close club pay alot last flight p construction go inconvenient
positive,perfect thank
negative,care less person although walk away complain man p lax club
negative,smiling
negative,bad airline world delay gate agent lose mind lb charge top already pay
neutral,make delay
negative,bwood wed prefer everyone hear complaint amount airline
negative,bother survey
neutral,im standby connecting flight st list nudgenudge im tell four slot open save please
negative,bad airline ever leg travel officially do time vocab im take premier status
neutral,look back never hear anyone call frankly get standard sop still think today
negative,donna juan still best united club bad ual get
neutral,connecting flight
neutral,get interrogate united club chicago unitedairlines rude poorform
negative,want contact someone question amp put hold minute order hang send pet line
neutral,access frankfurt arrival lounge im fly global first class
negative,keep delay flight horrible customer service
positive,best pilot ever thank guy great trip thatisall
negative,really think downgrade boozefood selection club good way go look aircanada
negative,guy atrocious far well service silver delta platinum ill switch back delta
positive,thank
positive,thanks make sure hear message
neutral,ntrustopen go golfunited
neutral,get email cust care issue offer voucher claim email back get reply dm
negative,deny call get hang speaks manager second call
negative,club den east west disgust httptcoxijyrpslzk
negative,instal work kick hour wouldnt let back four waste hour
neutral,would like know possiable checkin online must do schiphol
neutral,go fr silver elite two straight year group time get group maybe whats
negative,thats try enter email nd device make email typo way fix amp option log outin
neutral,delivery service use id like call
negative,hr tell guess theyve apparently bag hr call
positive,home next hr gfc httptcomkpognntyc
positive,thank
positive,perfectomobile admit app good lot useful func live seat map congrats
negative,still wait bag web still cant tell location come ups fedex tell u give minute
negative,seriously wait hour plane flight leave pm leave plane great great
positive,kind cool run bos man sfo httptcobmokxj
positive,get call bag deliver tonight thanks reply
positive,global first class lounge ord menu yummy httptcoegkvfokogj
positive,pleasantly surprise quality service flightflew lgacleden friendly crew love concept byod worksnicely
negative,like hear havent reply tweet andor email yet httpstcocafcxgfi
negative,rude grouchy agent dulles checkin get hour trip lousy start need nap something
negative,k use special people group one board global k together httptcoqdlyuxazg
negative,thats didnt read entire tweet wife pm flight delay thats hour flight delay week
negative,always helps communicate customer
negative,im sure httptcohsmpbsfuf
negative,help customer couldnt meet subsequently lose
positive,thank address
negative,problem laptop phone
negative,question give food voucher cant use planehow come
neutral,cool didnt need go work today get home make sure house ok wind chill
neutral,please reroute oregon womens tennis santa barbara there supposedly another connection la
negative,wifi ewr lounge remind old day dial
negative,need pay car could flight help desk say already leave shame
negative,long character
negative,bossf waiver business cancel flight due weather beforeafter flexibilitycompassion extreme circumstance pensiveface
negative,try already amp tried forget wifi network connection still force log incorrect email suggestion
negative,see tweet little min ago ignore c request cantlogoutofunitedwifi
negative,mean
negative,hrs yet
negative,anyone awake pay wifi iphone need use laptop logout option wifi flight time waste
negative,great job answer public message direct private message much
negative,work customer support extremely sadden united wont waive change fee flight cancel flight due east coast storm
negative,hows refund come along
negative,another fcking delay past hour
neutral,online inchecking able netherlands ams
negative,sfo hnl zero entertainment systemsyouareonyourown
negative,log wifi flight dont see option make typo logging help
neutral,special promotion flight depart newark nj st john antigua
negative,flight ua sfo burbank delay twice still plane sight get together
negative,say truth dont even email
negative,mr shes way think id detail extravaganza dobetter please httptcovpvphmtzc
